Num	MZ	True_MZ	0.806612601	L_MZ	D_MZ_Error_ppm	FoundInScans	D_MZ_Peak_Error_mean_ppm	D_MZ_Peak_Error_sd_ppm	D_MZ_Min_ppm	D_MZ_Max_ppm	Quant20_MZ_Diff_ppm	Quant80_MZ_Diff_ppm	RT	True_RT	0.106051154	negative = earlier	Shift	Xn	Charge	ScanEvent	Ionisation_Mode	Tracer	Area_N	Area_L	Fold	PeakRatio	LeftBorder_N	RightBorder_N	LeftBorder_L	RightBorder_L	Group_ID	Corr	Adducts	Hetero_Elements	ObservedIsoRatioMean_native_1	ObservedIsoRatioSD_native_1	TheoreticalIsoRatio_native_1	ObservedIsoRatioMean_labelled_1	ObservedIsoRatioSD_labelled_1	TheoreticalIsoRatio_labelled_1	CM12C_13CFg1.Area	CM12C_13CFg1.RT-Shift	CM12C_13CFg1.MZ-Shift	CM12C_13CFg1.MZ
629	473.6105591	472.1105591	1	488.1639797	-0.380042337	3	-0.123312378	0.661440368	-1.639599561	1.333874695	-0.618275795	0.493545014	2.714200501	2.871533333	0		-0.000679647	16	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	145437.3726	71953.65836	2.021264463	2.108147332	17	17	17	17	1	0.966516736	-	34S1 (scans: 3, obs: 6.3%, exp: 4.4%)	0.15379	0.02215	0.17305	0.206	0.0383	0.22718				
2754	472.11057												2.7142005					16		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										1										148066.98	0.1573329	-0.19392222	472.11047
810	425.679931	424.179931	1	441.2370457	0.388134817	12	0.331056597	1.037000251	-1.376852511	3.155675507	-0.657403619	0.781494164	2.943897764	3.106533333	0		0.00581066	17	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	57103.08075	57498.83809	0.993117125	0.952940253	8	17	8.5	17	3	0.986965816	-	-	0.18287	0.05136	0.18387	0.22224	0.04186	0.24138				
2758	424.17993												2.9438977					17		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										3										61166.312	0.16263556	0.14388978	424.18
6	188.67993	187.17993	1	192.1967537	0.393802904	19	0.435204717	0.437445063	-0.793020384	1.65256057	0.185211998	0.511289458	2.951181931	3.106533333	0		0.013094828	5	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	366318.8157	223441.7257	1.63943782	1.704607686	15.5	15.5	14.5	14.5	2	0.990412777	-	-	0.07113	0.01513	0.05408	0.047	0.01838	0.07099				
2756	187.17993												2.951182					5		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										2										366016.78	0.1553514	0.0	187.17993
12	241.6434841	240.1434841	1	246.1636062	0.091753478	5	0.165293737	0.569596795	-0.462166727	0.935719876	-0.335086127	0.846763456	2.986308782	3.156666667	0		0.000574585	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	5473.25759	7571.573107	0.722869279	-1	6	6	4.5	4.5	4	0.923968219	-	-	0.14173	0.04055	0.06489	0.07472	0.00561	0.08519				
211	282.1539537	282.1539537	0	293.1908021	-0.005709649	9	0.216232101	0.657759229	-1.676555897	1.568223528	-0.183957361	0.529894112	3.045739775	3.207783333	0		0.011412874	11	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	39055.65572	105228.3727	0.37115138	0.361034386	17	17	17	17	5	0.945151586	-	41K1 (scans: 4, obs: 7.0%, exp: 7.5%)	0.13321	0.03813	0.11897	0.12296	0.02815	0.15619	40671.395	0.16204333	-0.10815931	282.15393
143	285.6332157	284.1332157	1	294.166677	-0.136305781	18	-0.118085093	0.673977902	-1.581873803	2.606955524	-0.314484417	0.13662028	3.013290583	3.17365	0		0.011412874	10	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	136988.9931	175385.3413	0.78107436	0.801481218	17	17	17	17	5	0.989722929	-	-	0.09219	0.02944	0.10816	0.10874	0.0218	0.14199				
354	321.6330208	320.1330208	1	333.1765941	0.072563586	18	0.104522853	0.243991147	-0.290406625	0.662871424	-0.042554332	0.319691326	3.045739775	3.207783333	0		0.011412874	13	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	46259.0784	54535.93142	0.848231197	0.885899818	6.5	6.5	7	7	5	0.913252586	-	-	0.12089	0.01757	0.1406	0.15274	0.01729	0.18458				
