Num	MZ	True_MZ	1	L_MZ	D_MZ_Error_ppm	FoundInScans	D_MZ_Peak_Error_mean_ppm	D_MZ_Peak_Error_sd_ppm	D_MZ_Min_ppm	D_MZ_Max_ppm	Quant20_MZ_Diff_ppm	Quant80_MZ_Diff_ppm	RT	True_RT	0.496478873	negative = earlier	Shift	Xn	Charge	ScanEvent	Ionisation_Mode	Tracer	Area_N	Area_L	Fold	PeakRatio	LeftBorder_N	RightBorder_N	LeftBorder_L	RightBorder_L	Group_ID	Corr	Adducts	Hetero_Elements	ObservedIsoRatioMean_native_1	ObservedIsoRatioSD_native_1	TheoreticalIsoRatio_native_1	ObservedIsoRatioMean_labelled_1	ObservedIsoRatioSD_labelled_1	TheoreticalIsoRatio_labelled_1	Fg14N_15N01.Area	Fg14N_15N01.RT-Shift	Fg14N_15N01.MZ-Shift	Fg14N_15N01.MZ
101	262.6440309	261.1440309	1	263.1380641	-0.140131099	23	-0.123181932	0.174681935	-0.313081216	0.154363176	-0.313081216	0.037502078	2.652504602	3.260733333	1	-1	-0.432169723	2	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	227900.136	172480.3842	1.321310462	1.306518107	8	8	8	8	1	0.988985028	-	-	0.02694	0.00906	0.002	0.03637	0.01348	0.03874				
458	261.14404												2.6525047					2		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										1										227900.14	0.6082287	-0.46744436	261.14392
15	161.5964575	160.0964575	1	161.0934703	-0.138317864	17	-0.026599911	0.142646906	-0.255343847	0.221206019	-0.160033874	0.125896046	3.154818282	4.276966667	1	-1	-0.89869481	1	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	35209.18507	38278.98236	0.919804626	-1	6.5	6.5	6	6	4	0.878199632	-	-	0.76563	0.132	0.001	1.30611	0.2013	0.01937				
29	234.685507	233.185507	1	234.182557	0.064917414	7	0.079891895	0.357751507	-0.764235948	0.609925657	-0.070611519	0.269657069	3.171452149	4.294366667	1	-1	-0.89869481	1	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	13595.9252	18262.97173	0.744453061	-1	5.5	5.5	6	6	4	0.823821118	-	-	1.16943	0.1587	0.001	0.85511	0.11137	0.01937				
102	262.6440309	261.1440309	1	263.1380641	-0.140131099	26	-0.177371554	0.257225935	-0.897386705	0.388085371	-0.313081216	-0.07935902	3.600600565	3.765516667	0		0.035315252	2	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	622075.1336	485876.4797	1.280315388	1.290274962	15	15	15	15	2	0.994076651	-	-	0.02347	0.00422	0.002	0.03034	0.0054	0.03874				
460	261.14404												3.6006005					2		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										2										787930.7	0.16491628	-0.70116657	261.14386
428	167.585887	166.085887	1	175.0596687	2.815526403	27	2.799958313	0.189227239	2.378423914	3.113406968	2.672417136	2.929661205	3.656218624	4.365616667	1	-1	-0.482058088	9	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	429655.4605	36300.61494	11.83603807	8.472414629	11	15	15	15	6	0.544985086	-	-	1.01499	0.05093	0.00901	-1	-1	0.17431				
20	167.5858878	166.0858878	1	167.0829229	0.000630999	19	-0.007946622	0.185875856	-0.613627099	0.580720358	-0.062389811	0.102981375	3.656218624	4.365616667	1	-1	-0.482058088	1	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	429655.4605	442073.4215	0.971909732	0.978440009	11	15	11.5	15	6	0.994655542	-	-	1.01222	0.05007	0.001	0.98792	0.05022	0.01937				
472	166.08589												3.6562185					9		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										6										41480.84	0.4437647	0.09187288	166.0859
9	147.6171729	146.1171729	1	147.1142122	0.029981418	17	-0.070916149	0.214580055	-0.384201482	0.242369184	-0.321544415	0.075283673	3.732191485	4.365616667	1	-1	-0.406085227	1	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	26735.57963	18659.69001	1.432798702	-1	6	6	5.5	5.5	5	0.908462172	-	-	0.63535	0.05836	0.001	1.57393	0.14279	0.01937				
