Num	Group_ID	True_MZ	True_RT	1	MZ	0	Random Ogroup RT Shift	Function	RT	[+]151215_pos_236_fullyLab_Remus.Area	[+]151215_pos_236_fullyLab_Remus.RT-Shift	[+]151215_pos_236_fullyLab_Remus.MZ-Shift	[+]151215_pos_236_fullyLab_Remus.MZ
7	5	223.1175262	3.531816667	1	224.6175262	0	0.059954537	-0.111062307	3.480708896				
8	5	240.1442182	3.531816667	1	241.6442182	0	0.059954537	-0.111062307	3.480708896				
2	5	187.1804735	3.495933333	1	188.6804735	0	0.059954537	-0.103906621	3.451981249				
311	5	318.1183431	3.495933333	1	319.6183431	0	0.059954537	-0.103906621	3.451981249				
3188	5				240.14421				3.4807088	38398.63	0.50790787	-0.57186097	240.14407
57	10	166.0834238	4.291266667	1	167.5834238	0	0.022470516	-0.251376989	4.062360193				
80	22	203.1390937	5.8624	1	204.6390937	0	-0.016804721	-0.477469817	5.368125463				
3264	22				203.1391				5.3681254	324346.62	0.49427414	0.6009198	203.13922
37	37	204.0867744	7.468116667	1	205.5867744	0	0.053716329	-0.626749376	6.89508362				
3320	37				204.08678				6.8950834	695431.25	0.5194335	0.22429854	204.08682
351	38	311.0761567	7.6574	1	312.5761567	0	0.073723715	-0.639333513	7.091790202				
374	38	346.1133103	7.60715	1	347.6133103	0	0.073723715	-0.636091188	7.044782526				
3322	38				311.07617				7.09179	351312.75	0.5153594	0.09810323	311.0762
3324	38				346.1133				7.0447826	1610036.0	0.56236696	-0.08817222	346.11328
255	47	268.0817271	8.40485	1	269.5817271	0	0.011475441	-0.679372134	7.736953307				
324	47	342.1759639	8.40485	1	343.6759639	0	0.011475441	-0.679372134	7.736953307				
3366	47				268.08173				7.7369533	231569.55	0.66789675	-0.34151053	268.08163
3368	47				342.17596				7.7369533	210498.3	0.61202955	0.6243076	342.17618
305	51	310.1860804	8.66055	1	311.6860804	0	-0.095749629	-0.689648619	7.875151752				
321	51	338.2173007	8.678566667	1	339.7173007	0	-0.095749629	-0.690308853	7.892508185				
1612	51	510.1942963	8.66055	1	511.6942963	0	-0.095749629	-0.689648619	7.875151752				
3382	51				338.21732				7.892508	84188.17	0.5482917	0.5413841	338.2175
14	68	115.1116841	10.20691667	1	116.6116841	0	-0.061731602	-0.717335265	9.427849803				
16	68	133.1222841	10.18931667	1	134.6222841	0	-0.061731602	-0.717334641	9.410250427				
299	68	295.1751431	10.20691667	1	296.6751431	0	-0.061731602	-0.717335265	9.427849803				
347	68	295.1290657	10.20691667	1	296.6290657	0	-0.061731602	-0.717335265	9.427849803				
322	68	340.2329906	10.1715	1	341.7329906	0	-0.061731602	-0.717326996	9.392441402				
3464	68				115.11169				9.42785	939815.9	0.7966671	0.13255638	115.1117
3466	68				133.12228				9.410251	388426.66	0.7966652	-0.11462235	133.12227
3468	68				295.17514				9.42785	512820.1	0.7790661	0.3101641	295.17523
3470	68				295.12906				9.42785	318205.4	0.7790661	-0.10340418	295.12903
3472	68				340.233				9.392442	293164.75	0.8144741	0.08969612	340.23303
258	70	312.1653799	10.36963333	1	313.6653799	0	-0.055091125	-0.717017144	9.597525061				
263	70	340.1966284	10.35141667	1	341.6966284	0	-0.055091125	-0.717081654	9.579243891				
3478	70				312.16537				9.597525	3988758.2	0.7359581	-0.39104372	312.16525
3480	70				340.19662				9.579244	355975.84	0.7542391	-0.35882282	340.1965
122	69	195.0652599	10.29741667	1	196.5652599	0	0.042970352	-0.71723021	9.623156813				
607	69	376.1602382	10.29741667	1	377.6602382	0	0.042970352	-0.71723021	9.623156813				
3474	69				195.06526				9.623157	302750.62	0.6559429	0.07822402	195.06528
3476	69				376.16025				9.623157	648685.75	0.6559429	0.24338758	376.16034
391	71	370.170836	10.40465	1	371.670836	0	-0.021488339	-0.716872817	9.666288843				
3481	71				373.17084				9.666288	118508.89	0.6128111	2.944048	373.17194
3482	71				370.17084				9.666288	400974.25	0.7559786	-0.4122094	370.1707
194	74	227.0914424	10.61681667	1	228.5914424	0	-0.015838356	-0.715431872	9.885546442				
217	74	295.1150742	10.59951667	1	296.6150742	0	-0.015838356	-0.715585485	9.868092828				
887	74	389.1442675	10.61681667	1	390.6442675	0	-0.015838356	-0.715431872	9.885546442				
902	74	411.126211	10.59951667	1	412.626211	0	-0.015838356	-0.715585485	9.868092828				
929	74	434.2022045	10.61681667	1	435.7022045	0	-0.015838356	-0.715431872	9.885546442				
3490	74				227.09145				9.885547	1983926.2	0.7139702	-0.47034588	227.09134
3492	74				295.11508				9.868093	163543.44	0.748724	0.20681815	295.11514
3494	74				389.14426				9.885547	911893.1	0.7139702	-0.47053364	389.14407
3496	74				411.12622				9.868093	185850.56	0.73142433	-0.3711461	411.12607
3498	74				434.2022				9.885547	455038.53	0.69630337	-0.28113702	434.2021
252	76	252.0866958	10.82421667	1	253.5866958	0	-0.095677213	-0.713098415	10.01544104				
325	76	342.1759639	10.79015	1	343.6759639	0	-0.095677213	-0.713543595	9.980929192				
257	76	297.1446013	10.80711667	1	298.6446013	0	-0.095677213	-0.713324897	9.99811456				
259	76	312.1653799	10.82421667	1	313.6653799	0	-0.095677213	-0.713098415	10.01544104				
3502	76				252.0867				10.015441	2230188.2	0.79167557	0.42370948	252.0868
3504	76				342.17596				9.980929	1744763.0	0.7923212	-0.71349436	342.17572
3506	76				297.1446				9.998115	194977.66	0.8090019	-0.20540558	297.14453
3508	76				312.16537				10.015441	1861573.5	0.79167557	0.19552186	312.16544
355	96	313.0918319	12.04186667	1	314.5918319	0	0.024441045	-0.682035242	11.38427247				
2077	96	544.2024746	12.04186667	1	545.7024746	0	0.024441045	-0.682035242	11.38427247				
3650	96				313.09183				11.384273	565672.9	0.6575947	0.19494331	313.0919
3652	96				544.20245				11.384273	2124416.0	0.6575947	0.0	544.20245
1223	101	432.1502096	12.25551667	1	433.6502096	0	-0.079391244	-0.673715331	11.50241009				
1248	101	460.1812031	12.22233333	1	461.6812031	0	-0.079391244	-0.675060563	11.46788152				
3692	101				432.1502				11.50241	4264572.5	0.7531071	-0.07061799	432.15018
3694	101				460.1812				11.467881	117160.63	0.7708187	-0.3315822	460.18106
2494	103	598.2129876	12.32218333	1	599.7129876	0	-0.031142918	-0.670954488	11.62008592				
3698	103				598.213				11.620086	126439.34	0.6354313	0.20405827	598.21313
2381	105	581.1501541	12.55983333	1	582.6501541	0	0.084188647	-0.66048953	11.98353245				
2404	105	603.1321058	12.5258	1	604.6321058	0	0.084188647	-0.662047201	11.94794145				
3702	105				581.15015				11.983533	5991106.5	0.5763006	0.6301486	581.1505
3704	105				603.1321				11.947942	96754.695	0.61189175	0.101197004	603.13214
106	107	373.1129189	12.72556667	1	374.6129189	0	0.047071353	-0.652627245	12.12001078				
108	107	390.1395149	12.72556667	1	391.6395149	0	0.047071353	-0.652627245	12.12001078				
1383	107	445.1341032	12.72556667	1	446.6341032	0	0.047071353	-0.652627245	12.12001078				
1245	107	455.1158854	12.79181667	1	456.6158854	0	0.047071353	-0.64935743	12.18953059				
125	107	197.0807913	12.7419	1	198.5807913	0	0.047071353	-0.651827781	12.13714357				
584	107	355.1023562	12.70921667	1	356.6023562	0	0.047071353	-0.653423132	12.10286489				
602	107	373.1128923	12.72556667	1	374.6128923	0	0.047071353	-0.652627245	12.12001078				
623	107	390.1395135	12.72556667	1	391.6395135	0	0.047071353	-0.652627245	12.12001078				
629	107	395.0947835	12.7419	1	396.5947835	0	0.047071353	-0.651827781	12.13714357				
22	107	399.1696998	12.72556667	1	400.6696998	0	0.047071353	-0.652627245	12.12001078				
1236	107	450.1608807	12.77511667	1	451.6608807	0	0.047071353	-0.650188438	12.17199958				
1252	107	478.1918424	12.7419	1	479.6918424	0	0.047071353	-0.651827781	12.13714357				
116	107	179.070196	12.75855	1	180.570196	0	0.047071353	-0.651008311	12.15461304				
71	107	185.0807703	12.77511667	1	186.5807703	0	0.047071353	-0.650188438	12.17199958				
1226	107	433.1341093	12.77511667	1	434.6341093	0	0.047071353	-0.650188438	12.17199958				
2351	107	556.238851	12.82476667	1	557.738851	0	0.047071353	-0.647704488	12.22413354				
2361	107	561.1939719	12.79181667	1	562.6939719	0	0.047071353	-0.64935743	12.18953059				
3708	107				373.1129				12.12001	2205013.2	0.6218891	-0.1635836	373.11285
3710	107				390.13953				12.12001	9215921.0	0.6218891	0.078222215	390.13956
3712	107				445.1341				12.12001	362548.53	0.6385393	0.0	445.1341
3714	107				455.11588				12.18953	948950.2	0.5690193	-0.2682181	455.11575
3716	107				197.0808				12.137143	2734470.0	0.60475636	-0.07742403	197.08078
3718	107				355.10236				12.102865	993315.7	0.6390343	0.08594023	355.1024
3720	107				395.0948				12.137143	493109.2	0.60475636	0.0	395.0948
3722	107				399.1697				12.12001	503247.9	0.6218891	-0.15290527	399.16965
3724	107				450.1609				12.172	1.6589669E7	0.58654976	0.2711704	450.161
3726	107				478.19183				12.137143	2361662.8	0.62140656	-0.12763739	478.19177
3728	107				179.07019				12.1546135	2016216.5	0.587286	-0.08521122	179.07018
3730	107				185.08076				12.172	786829.6	0.58654976	0.0	185.08076
3732	107				433.1341				12.172	4775753.0	0.58654976	0.07045758	433.13412
3734	107				556.23883				12.2241335	669832.25	0.56768227	0.32918498	556.239
3736	107				561.194				12.18953	309324.2	0.6022854	0.0	561.194
2375	112	570.2181235	13.05915	1	571.7181235	0	-0.050511441	-0.635443258	12.3731953				
3762	112				570.21814				12.373196	184941.58	0.6523371	0.5351913	570.21844
2483	118	588.2649146	13.27866667	1	589.7649146	0	0.073822788	-0.623177758	12.7293117				
3800	118				588.2649				12.729312	107473.6	0.54935455	0.20750909	588.265
349	122	302.1598734	13.51891667	1	303.6598734	0	-0.0265319	-0.608916013	12.88346876				
382	122	352.1602462	13.51891667	1	353.6602462	0	-0.0265319	-0.608916013	12.88346876				
2189	122	540.1899626	13.503	1	541.6899626	0	-0.0265319	-0.609887339	12.86658076				
3814	122				302.15988				12.883469	925515.4	0.60368156	-0.10099812	302.15985
3816	122				352.16025				12.883469	703097.6	0.61953163	-0.34663287	352.16013
3818	122				540.18994				12.866581	161268.7	0.6364193	0.5649416	540.19025
2718	124	641.1863138	13.585	1	642.6863138	0	-0.074466809	-0.604843677	12.90568951				
3822	124				641.18634				12.905689	90665.96	0.7127104	-0.28557295	641.18616
2490	125	595.1656155	13.585	1	596.6656155	0	-0.040710184	-0.604843677	12.93944614				
2512	125	617.1476603	13.6184	1	618.6476603	0	-0.040710184	-0.602761318	12.9749285				
3824	125				595.1656				12.939446	4691276.5	0.62866974	0.922964	595.16614
