Num	MZ	L_MZ	D_MZ	RT	Xn	Charge	ScanEvent	Ionisation_Mode	Tracer	OGroup	Ion	Loss	M	160125_pos_244_ExpMetMarc_KPX_28_freshprep_Test_Area	160125_pos_244_ExpMetMarc_KPX_28_fromorigExp_Test_Area	160125_pos_244_ExpMetMarc_KPX_29_freshprep_Test_Area	160125_pos_244_ExpMetMarc_KPX_29_fromorigExp_Test_Area	160125_pos_244_ExpMetMarc_KPX_30_freshprep_Test_Area	160125_pos_244_ExpMetMarc_KPX_30_fromorigExp_Test_Area	_160125_pos_244_12C13C_DON_Treatment_Remus_Area_N	_160125_pos_244_12C13C_DON_Treatment_Remus_Area_L	_160125_pos_244_12C13C_DON_Treatment_Remus_FID	_160125_pos_244_12C13C_DON_Treatment_Remus_GroupID	_160125_pos_244_12C13C_Fg_Treatment_Remus_Area_N	_160125_pos_244_12C13C_Fg_Treatment_Remus_Area_L	_160125_pos_244_12C13C_Fg_Treatment_Remus_FID	_160125_pos_244_12C13C_Fg_Treatment_Remus_GroupID	_160125_pos_243_solcomp_ACNFA_Ear_1_Area_N	_160125_pos_243_solcomp_ACNFA_Ear_1_Area_L	_160125_pos_243_solcomp_ACNFA_Ear_1_FID	_160125_pos_243_solcomp_ACNFA_Ear_1_GroupID	_160125_pos_243_solcomp_ACN_Ear_1_Area_N	_160125_pos_243_solcomp_ACN_Ear_1_Area_L	_160125_pos_243_solcomp_ACN_Ear_1_FID	_160125_pos_243_solcomp_ACN_Ear_1_GroupID	_160125_pos_243_solcomp_AcetoneFA_Ear_1_Area_N	_160125_pos_243_solcomp_AcetoneFA_Ear_1_Area_L	_160125_pos_243_solcomp_AcetoneFA_Ear_1_FID	_160125_pos_243_solcomp_AcetoneFA_Ear_1_GroupID	_160125_pos_243_solcomp_Acetone_Ear_1_Area_N	_160125_pos_243_solcomp_Acetone_Ear_1_Area_L	_160125_pos_243_solcomp_Acetone_Ear_1_FID	_160125_pos_243_solcomp_Acetone_Ear_1_GroupID	_160125_pos_243_solcomp_MeOHACNFA_Ear_1_Area_N	_160125_pos_243_solcomp_MeOHACNFA_Ear_1_Area_L	_160125_pos_243_solcomp_MeOHACNFA_Ear_1_FID	_160125_pos_243_solcomp_MeOHACNFA_Ear_1_GroupID	_160125_pos_243_solcomp_MeOHACN_Ear_1_Area_N	_160125_pos_243_solcomp_MeOHACN_Ear_1_Area_L	_160125_pos_243_solcomp_MeOHACN_Ear_1_FID	_160125_pos_243_solcomp_MeOHACN_Ear_1_GroupID	_160125_pos_243_solcomp_MeOHFA_Ear_1_Area_N	_160125_pos_243_solcomp_MeOHFA_Ear_1_Area_L	_160125_pos_243_solcomp_MeOHFA_Ear_1_FID	_160125_pos_243_solcomp_MeOHFA_Ear_1_GroupID	_160125_pos_243_solcomp_MeOH_Ear_1_Area_N	_160125_pos_243_solcomp_MeOH_Ear_1_Area_L	_160125_pos_243_solcomp_MeOH_Ear_1_FID	_160125_pos_243_solcomp_MeOH_Ear_1_GroupID	_160125_pos_244_12C13C_DON_Treatment_Remus_fold	_160125_pos_244_12C13C_Fg_Treatment_Remus_fold	_160125_pos_243_solcomp_ACNFA_Ear_1_fold	_160125_pos_243_solcomp_ACN_Ear_1_fold	_160125_pos_243_solcomp_AcetoneFA_Ear_1_fold	_160125_pos_243_solcomp_Acetone_Ear_1_fold	_160125_pos_243_solcomp_MeOHACNFA_Ear_1_fold	_160125_pos_243_solcomp_MeOHACN_Ear_1_fold	_160125_pos_243_solcomp_MeOHFA_Ear_1_fold	_160125_pos_243_solcomp_MeOH_Ear_1_fold	doublePeak	Remus_Stat_fold	solvents_Stat_fold	Phe_Num	Phe_MZ	Phe_RT	Phe_Xn	Phe_Charge	Phe_Ionisation_Mode	Trp_Num	Trp_MZ	Trp_RT	Trp_Xn	Trp_Charge	Trp_Ionisation_Mode
1	101.02330381	104.03335381	3.01005	3.23	3	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	1					776900.6114171149		795885.431521431		750522.9050923367	480295.400851	695984.963562			527093.62399	1259022.20793	1	32																		7472.13182369								15377.0034094				16503.6499803			0.690094507779	0.418653158515									0	1	0												
4	119.033868373	122.043918373	3.01005	3.18	3	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	1				416094.78604641865	1477880.083483176	305467.61737757287	1827572.6923325544	319994.4854861859	1564572.5236398266	1694572.8392	2884109.86548	4.0	23.0	1950261.20126	4580440.63159	5	32																	14333.1699038	23043.7377569				22285.2688754			16803.8529962	43130.6054291			28687.420141	68921.1341715			0.587554884605	0.425780259613					0.621998481974		0.389603921137	0.416235462255	0	2	0												
2	103.038990832	106.049040832	3.01005	2.78	3	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	2				516645.9900367334	4524411.389597646		5013592.928539953	624442.1990665857	4730898.257399423	1595588.96133	3696123.92229	1.0	13.0	4051779.40118	5050053.64899	2	16																	62358.1635449	73734.635367							117059.686389	261525.752286							0.431692495944	0.80232403115					0.845710611227		0.447602904745		0	2	0												
27	131.033973815	135.047373815	4.0134	2.78	4	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	2				123033.54745885862	2028334.1825096188		2065267.3761333986		2016355.898328098	619075.02082	1588692.87536			2198730.04202	3272963.4833	25	16									10101.7866009								25945.6233767	40528.3086656							49937.2905776	141546.274808							0.389675707886	0.67178569307					0.640185199703		0.352798338532		0	1	0												
30	149.044378472	153.057778472	4.0134	2.77	4	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	2				775295.9689758956	1.0586581331786385E7	565009.3679724179	1.0470956654747862E7	575493.6895245739	1.0626566901534988E7	2364288.68866	5604585.26257	31.0	13.0	6259760.04485	8876665.44118	33	16													8433.02314499				112911.284533	220751.361022							324360.398637	847233.017095	13	13					0.421849000041	0.705192742289					0.511486244118		0.382846740026		0	2	1												
697	160.07576668	170.10926668	10.0335	2.75	10	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	2	[M+H]+		159.06849068	1330841.31812831	1581234.5981686106	1175347.168512717	1533096.7325727833	1290908.8631719926	1657438.4520752549					1782668.84009	299919.460519	479	16													9842.78626617																					5.94382517562									0	1	0												
742	177.102268601	187.135768601	10.0335	2.76	10	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	2	[M+NH4]+		159.068445601	1907056.7170427118	2147558.8575186394	1405461.1646266289	2217049.05497269	1634827.7290953316	2537617.487736445	236172.848464				3808373.94081	699414.370694	506	16	6812.54203924				6862.13748658												12953.8562196				4650.54126487				8997.43267167				10901.7621358					5.44508963553									0	1	0							58	177.102673437	2.81	10.0	1	+
3	106.049768354	109.059818354	3.01005	2.18	3	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	3				1030977.0257932147	1324856.3861769831	624604.7636697087	1833988.9177303931	970470.5369100781	1883778.7886322867	1099547.45426	1294026.14185			748120.163738	913963.796076			208804.25613	184447.356324	1	1	175660.964555	231271.814963			229390.502881	273466.450866			190086.943097	162101.912354			90667.0125296	140754.121757			118507.571689	122533.403512			91400.0598376	98546.9722094			83770.5864375	99661.3238152			0.849710387371	0.818544637053	1.13205339611	0.759543330357	0.838825026451	1.17263849844	0.644151740622	0.967145025703	0.927477098367	0.840552615905	0	0	1												
29	134.044725273	138.058125273	4.0134	2.09	4	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	3				1296565.7713165826	1860953.1508067914	970487.9710787614	2396185.2113373606	1113421.6957885334	2508506.3717399705	793904.882953	1190509.55659			658231.603469	1014760.74965			170812.817937	386390.216499	9	1	163644.383986	476381.30106			188710.579505	449736.762465			169845.699196	309134.380526			83184.896934	117733.813305			89148.4788865	123639.514295			66608.6534622	210474.233289			73910.3506092	204117.267796			0.666861411196	0.648656940757	0.442073351351	0.343515548621	0.419602299065	0.549423519011	0.706550604275	0.721035499006	0.316469395903	0.362097491346	0	0	1												
5	197.080963181	200.091013181	3.01005	12.8	3	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	4				1945157.5302998116	3058163.4106029416	1788067.365087828	3018980.164903303	1886928.6904336512	3114051.3925644946	2285033.6972	163619.676944			1996336.79652	304043.426864	10	218	140761.81635				136669.800603				224753.958353	2896.0325692			222737.893932				301692.14643	4201.10889145			255525.545689				251808.320369				295418.545063				13.9655189393	6.56595939965			77.6075382382		71.8125033711				0	1	0												
302	200.09101118	207.11446118	7.02345	12.8	7	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	4										163619.676944	2961102.14749			304042.871598	3425762.08954	203	218		125238.817416				163299.983203			2896.0325692	232580.574132				180433.605751			4201.10889145	299915.579412				263786.701069				284958.401898				318184.456518			0.0552563433457	0.0887518933455			0.0124517388437		0.0140076380816				0	1	0												
307	382.143468898	389.166918898	7.02345	12.77	7	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	4	[M+H]+		381.136192898							239913.502503	3940589.22074			463944.163599	4344396.77256	216	218	4069.55573112	168508.541017			4710.1221385	216560.915629			8443.30432171	303926.354099			6875.05389267	252042.827927			13435.2965672	390470.917775			13689.8108588	350522.786352			11738.2439541	381578.88732			15998.0713656	384973.540202			0.0608826470014	0.106791388514	0.0241504419097	0.0217496408566	0.0277807574362	0.0272773240533	0.0344079314376	0.0390554092111	0.0307622993413	0.0415562881469	0	1	0												
309	399.169786035	406.193236035	7.02345	12.77	7	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	4	[M+NH4]+		381.135963035							417088.820587	6561512.76433	269.0	228.0	905650.595535	8501438.36336	219	218	23520.9919817	584127.822216			28541.4277788	681131.345367			34464.952823	897353.04056			28708.7378288	820195.426196			47619.5249962	1190687.46909			47756.5648289	1166886.74306			48509.374772	1216995.21608			43003.5415536	1202118.24309			0.0635659543108	0.106529102115	0.040266857847	0.0419029721256	0.0384073505802	0.0350023139752	0.039993303224	0.0409264781803	0.039859955184	0.035773137793	0	2	0												
518	185.080943779	194.111093779	9.03015	12.8	9	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	4				2359007.6267858935	3398019.796502346	2360464.872597846	3546262.582543231	2416777.9825552404	3708853.313735338	2357828.37152	2772593.48606			1564132.97676	2291177.76872	377	218	196015.062842	188786.642558			143656.680609	214683.010795			225659.303622	273855.910746			201537.473024	216364.907422			278677.86209	330489.194755			245029.114809	271176.452351			212933.596451	279234.925842			246841.10432	284792.112151			0.850405363562	0.682676393824	1.03828883329	0.6691571917	0.824007424224	0.931470243607	0.843228361209	0.903578141409	0.762560757072	0.86674136603	0	1	0	10	185.081155225	12.81	6.0	1	+						
641	373.113062555	382.143212555	9.03015	12.76	9	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	4				2169018.1805185685	3656966.2039009756	1876353.3817494095	3640140.64141751	2147960.790744196	3837871.594420893	2856279.71148	239913.502503	538.0	228.0	2575303.87045	463944.163599	454	218	210383.234868	4069.55573112			177604.939597	4710.1221385			285400.519264	8443.30432171			300422.383224	6875.05389267			394112.156853	13435.2965672			335422.27148	13689.8108588			340492.364334	11738.2439541			390054.885969	15998.0713656			11.9054562652	5.55089183679	51.6968555706	37.707077306	33.8019936733	43.6974586548	29.3340868869	24.5016001272	29.0070955815	24.3813692949	0	2	0	61	373.113585675	12.77	7.0	1	+						
775	197.080879886	207.114379886	10.0335	12.78	10	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	4				1945157.5302998116	3058163.4106029416	1788067.365087828	3018980.164903303	1886928.6904336512	3114051.3925644946	2285033.6972	2961102.14749	640.0	228.0	1996336.79652	3425762.08954	531	218	140761.81635	125238.817416			136669.800603	163367.574903			224760.279725	232580.574132			222737.893932	180433.605751			301811.724189	300217.756286			255525.545689	263786.701069			251808.320369	284958.401898			295418.545063	318184.456518			0.771683509512	0.582742392595	1.1239471855	0.836578499031	0.966375977721	1.23445902999	1.00530937251	0.968682441735	0.883666944692	0.928450585852	0	2	0	37	197.081128137	12.79	7.0	1	+						
1308	241.106891469	253.147091469	12.0402	12.74	12	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	4				271286.57786887075	205792.31881159716	183877.14203582582	217265.87726071748	249809.2929935405	228607.27996672996	200767.201881	346192.444281	1081.0	228.0	119248.356501	361145.19874			31219.9023902				24461.0406838				37426.8313077				34236.3379486				44568.1362563				42480.4427756				34855.1235846				40295.7412088				0.579929473325	0.330195048742									0	1	0												
1417	570.248660659	582.288860659	12.0402	12.76	12	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	4							101447.69972342941		15521.006502998478	209574.704671	180698.934415	1188.0	228.0	57397.9026907	51225.2494076																				7479.87001222							2881.42407405	4823.94016046				6901.21759668			1.15980044569	1.12050020946							0.597317540891		0	1	0												
3245	433.13428463	451.19458463	18.0603	12.78	18	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	4	[M+H]+		432.12700863	5736309.166965388	9082030.946055261	5096249.202069989	8982583.623299105	5678898.252138813	9550916.927008962	8334979.92828	9860535.29216	2578.0	228.0	4966606.60117	7605178.35298	2384	218	541464.049234	480457.692847			427494.066441	541595.671497			615958.869551	701317.555171			558595.058743	538636.740401			822756.921163	857765.256397			642883.894103	668747.824699			591170.01058	711867.433137			697459.741451	726452.377786			0.845286759929	0.653055900947	1.12697550127	0.789323269994	0.878288109301	1.0370533921	0.959186578178	0.961324837794	0.8304495796	0.960090107457	0	2	0	18	433.134976927	12.82	6.0	1	+						
